 Cluster             RA        DEC       l       b       Rsun  ERsun    R_GC   <RV>   ERV        mualpha        mu_delta  rhopmrade   X      DX      Y      DY      Z      DZ        U      DU        V       DV         W      DW       RPERI           RAPO\
  Name                                                      [kpc]       [kpc] [km/s] [km/s]     [mas/yr]        [mas/yr]            [kpc]   [kpc]  [kpc]   [kpc]  [kpc]  [kpc]    [km/s]  [km/s]    [km/s]  [km/s]    [km/s]  [km/s]     [kpc]          [kpc]\
NGC_104           6.023792 -72.081306 305.895 -44.889    4.52   0.03    7.52  -17.45  0.16    5.252  0.021   -2.551  0.021  -0.00    6.30   0.01   -2.59   0.02   -3.19   0.02    77.52    0.42    170.92    0.39     45.95    0.34    5.47  0.02     7.51   0.00\
NGC_288          13.188500 -26.582611 151.285 -89.380    8.99   0.09   12.21  -44.45  0.13    4.164  0.024   -5.705  0.024   0.01    8.26   0.00    0.05   0.00   -8.99   0.09     4.47    1.02    -48.52    1.03     50.29    0.13    2.03  0.11    12.34   0.06\
NGC_362          15.809416 -70.848778 301.533 -46.247    8.83   0.10    9.62  223.12  0.28    6.694  0.025   -2.535  0.024   0.00    4.98   0.03   -5.20   0.06   -6.38   0.07    93.47    0.96    -98.41    0.83    -67.86    0.73    0.73  0.07    11.86   0.15\
Whiting_1        30.737499  -3.252778 161.618 -60.636   30.59   1.17   35.15 -130.41  1.79   -0.228  0.065   -2.046  0.056   0.03   22.41   0.54    4.73   0.18  -26.66   1.02  -247.27    8.04     28.46    8.59     -8.92    4.50   21.58  1.96    61.96   5.64\
NGC_1261         48.067543 -55.216225 270.539 -52.124   16.40   0.19   18.28   71.34  0.21    1.596  0.025   -2.064  0.025   0.01    8.08   0.00  -10.07   0.12  -12.95   0.15   -78.94    1.94     57.67    1.54     68.70    1.20    1.48  0.09    21.09   0.22\
Pal_1            53.333500  79.581055 130.065  19.028   11.18   0.32   17.41  -75.72  0.29   -0.252  0.034    0.007  0.037   0.08   14.98   0.20    8.09   0.23    3.64   0.11   -63.79    1.53    206.36    1.27    -24.84    1.82   14.71  0.29    19.02   0.41\
AM_1             58.759586 -49.615276 258.361 -48.471  118.91   3.40  120.27  118.00 14.14    0.291  0.107   -0.177  0.086  -0.22   24.08   0.45  -77.21   2.20  -89.01   2.54   -18.96   50.26     29.50   44.65     41.43   41.02   21.05 14.41   125.68   4.16\
Eridanus         66.185608 -21.186781 218.106 -41.332   84.68   2.89   89.76  -23.15  0.73    0.510  0.039   -0.301  0.041  -0.09   58.21   1.71  -39.24   1.34  -55.93   1.91   -53.31   13.12     58.62   14.15    140.40   11.69   14.17  4.45   120.26   4.23\
Pal_2            71.524620  31.381500 170.530  -9.072   26.17   1.28   34.19 -135.97  1.55    1.045  0.034   -1.522  0.031   0.04   33.67   1.25    4.25   0.21   -4.13   0.20  -109.23    1.79      4.61    3.94      8.22    4.04    1.28  0.51    38.87   1.32\
NGC_1851         78.528160 -40.046555 244.513 -35.036   11.95   0.13   16.69  321.40  1.55    2.145  0.024   -0.650  0.024  -0.02   12.39   0.05   -8.83   0.10   -6.86   0.08    82.56    1.39    -67.96    1.47    -82.87    1.42    0.85  0.05    19.93   0.18\
NGC_1904         81.045837 -24.524416 227.230 -29.350   13.08   0.18   19.09  205.76  0.20    2.469  0.025   -1.594  0.025  -0.00   15.92   0.11   -8.37   0.12   -6.41   0.09    43.97    1.26    -17.01    1.19      5.45    1.35    0.56  0.10    19.48   0.17\
NGC_2298        102.247543 -36.005306 245.629 -16.006    9.83   0.17   15.07  147.15  0.57    3.320  0.025   -2.175  0.026   0.01   12.08   0.07   -8.61   0.15   -2.71   0.05   -79.52    1.12     34.21    0.76     67.49    1.16    1.10  0.11    16.44   0.19\
NGC_2419        114.535286  38.881944 180.370  25.241   88.47   2.40   95.93  -21.10  0.31    0.007  0.028   -0.523  0.026   0.03   88.20   2.17   -0.52   0.01   37.73   1.03    -7.81    4.93     40.20   11.10    -52.10   10.43   14.64  3.60    96.99   2.61\
Pyxis           136.986900 -37.226600 261.321   6.992   36.53   0.66   38.61   40.46  0.21    1.030  0.032    0.138  0.035   0.03   13.65   0.10  -35.84   0.64    4.45   0.08  -108.45    5.68    215.03    1.18    159.49    5.70   18.38  0.97    95.06   4.23\
NGC_2808        138.012909 -64.863495 282.193 -11.253   10.06   0.11   11.58  103.57  0.27    0.994  0.024    0.273  0.024  -0.01    6.09   0.02   -9.64   0.11   -1.96   0.02   -55.99    1.12    149.25    0.42     30.12    1.11    0.98  0.02    14.61   0.12\
E_3             140.237793 -77.281891 292.268 -19.017    7.88   0.25    9.10   11.71  0.34   -2.727  0.027    7.083  0.027   0.00    5.36   0.09   -6.89   0.22   -2.57   0.08   218.05    0.96    111.48    0.58     97.34    0.97    9.00  0.16    12.10   0.87\
Pal_3           151.381622   0.071667 240.140  41.864   94.84   3.23   98.17   94.04  0.80    0.086  0.060   -0.148  0.071  -0.41   43.34   1.20  -61.26   2.09   63.29   2.16   -39.18   26.22    147.56   24.25     62.46   21.64   53.43 12.32   111.75   6.00\
NGC_3201        154.403427 -46.412476 277.229   8.640    4.74   0.04    8.93  493.65  0.21    8.348  0.022   -1.958  0.022  -0.00    7.59   0.01   -4.65   0.04    0.71   0.01  -249.72    0.49   -199.07    0.23    149.16    0.49    8.32  0.02    25.49   0.34\
Pal_4           172.318329  28.973373 202.311  71.801  101.39   2.57  104.05   72.40  0.24   -0.188  0.042   -0.476  0.041  -0.14   37.47   0.74  -12.02   0.30   96.32   2.44    -1.38   19.13     -0.57   19.65     48.95    6.28    6.47  4.13   106.82   2.64\
Crater          174.068750 -10.876972 274.809  47.848  147.23   4.27  147.00  148.10  0.65   -0.059  0.125   -0.116  0.116  -0.23   -0.11   0.24  -98.46   2.86  109.15   3.17   -22.64   85.85     86.17   61.90     56.34   55.46   79.65 49.98   193.24 113.81\
NGC_4147        182.526260  18.542639 252.848  77.189   18.54   0.21   20.74  179.35  0.31   -1.707  0.027   -2.090  0.027  -0.02    9.39   0.01   -3.93   0.05   18.07   0.21    41.47    2.41    -13.39    2.36    129.94    0.61    1.38  0.12    25.28   0.27\
NGC_4372        186.439101 -72.659084 300.993  -9.884    5.71   0.21    7.22   75.59  0.30   -6.409  0.024    3.297  0.024   0.00    5.28   0.11   -4.82   0.18   -0.98   0.04   100.02    0.59     84.34    0.43     64.53    0.64    2.92  0.11     7.24   0.06\
Rup_106         189.667500 -51.150278 300.888  11.671   20.71   0.36   18.04  -38.36  0.26   -1.254  0.026    0.401  0.026   0.03   -2.23   0.18  -17.41   0.30    4.19   0.07   118.81    2.24    226.10    1.42     31.89    2.50    4.64  0.19    34.77   0.81\
NGC_4590        189.866577 -26.744057 299.626  36.051   10.40   0.10   10.35  -93.11  0.18   -2.739  0.024    1.779  0.024   0.00    4.02   0.04   -7.31   0.07    6.12   0.06   170.95    1.08    289.35    0.86     16.98    0.96    8.95  0.06    29.51   0.42\
BH_140          193.472915 -67.177276 303.171  -4.307    4.81   0.25    6.86   90.30  0.35  -14.848  0.024    1.224  0.024   0.00    5.55   0.13   -4.01   0.21   -0.36   0.02   221.40    0.51    -10.10    0.42     31.51    0.55    2.01  0.11     9.95   0.56\
NGC_4833        194.891342 -70.876503 303.604  -8.015    6.48   0.08    7.13  201.99  0.40   -8.377  0.025   -0.963  0.025  -0.01    4.63   0.05   -5.34   0.07   -0.90   0.01    94.87    0.68    -54.75    0.55    -42.08    0.75    0.85  0.06     7.65   0.08\
NGC_5024        198.230209  18.168165 332.963  79.764   18.50   0.18   19.00  -63.37  0.25   -0.133  0.024   -1.331  0.024   0.00    5.25   0.03   -1.49   0.01   18.20   0.18   -57.04    2.07    155.78    2.11    -72.45    0.45    9.17  0.17    22.67   0.22\
NGC_5053        199.112885  17.700251 335.699  78.946   17.54   0.23   18.01   42.82  0.25   -0.329  0.025   -1.213  0.025  -0.02    5.11   0.04   -1.38   0.02   17.21   0.23   -53.32    2.07    151.32    2.11     35.25    0.47   10.86  0.23    17.96   0.22\
NGC_5139        201.696991 -47.479473 309.102  14.968    5.43   0.05    6.50  232.78  0.21   -3.250  0.022   -6.746  0.022   0.01    4.87   0.03   -4.07   0.04    1.40   0.01   -95.71    0.46    -22.02    0.40    -87.15    0.53    1.50  0.05     6.94   0.03\
NGC_5272        205.548416  28.377277  42.217  78.707   10.18   0.08   12.09 -147.20  0.27   -0.152  0.023   -2.670  0.022   0.00    6.70   0.01    1.34   0.01    9.98   0.08   -65.05    1.08    128.20    1.08   -134.19    0.34    5.25  0.05    15.78   0.11\
NGC_5286        206.611710 -51.374249 311.614  10.568   11.10   0.14    8.46   62.38  0.40    0.198  0.025   -0.153  0.025  -0.00    0.93   0.09   -8.16   0.11    2.03   0.03   -59.38    1.05    210.62    0.96      8.74    1.30    0.97  0.05    12.81   0.17\
AM_4            209.089066 -27.165171 320.283  33.510   29.01   0.94   24.58  151.19  2.85   -0.291  0.445   -2.512  0.344  -0.36  -10.43   0.60  -15.46   0.50   16.02   0.52  -152.75   46.34    -49.10   47.23   -174.27   40.52   25.06  0.78    47.63  23.70\
NGC_5466        211.363709  28.534445  42.150  73.592   16.12   0.16   16.48  106.82  0.20   -5.342  0.025   -0.822  0.024   0.01    4.80   0.03    3.06   0.03   15.46   0.16   217.58    1.83    -34.52    1.82    225.20    0.56    6.26  0.24    47.61   1.48\
NGC_5634        217.405335  -5.976430 342.210  49.260   25.96   0.62   21.84  -16.07  0.60   -1.692  0.027   -1.478  0.026  -0.01   -7.95   0.39   -5.18   0.12   19.67   0.47    59.74    2.62    -13.43    3.20    -25.78    2.18    2.95  0.33    22.20   0.60\
